vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate
AA00001,408,437,1,0,77,0,0,0,0,0.735041162,0,0,0,0,62.81774737,0,0.832242933
AA00002,188,190,1,0,30,0,90,0,0,0.735104553,0,0,0,0,61.28487979,0,0.771820991
AA00004,235,232,0,7,15,0,0,0,0,0.747053626,0,0,0,0,52.8852896,0,0.687519221
AA00036,181,172,0,1,26,0,0,0,0,0.71794894,0,0,0,0,49.51415925,0,0.756098788
AA00045,83,85,0,3,14,0,0,1,0,0.768542142,0,0,0,0,49.33039433,0,0.838586504
AA00051,484,482,1,0,49,0,2,0,0,0.768046734,0,0,0,0,55.81785091,0,0.730611148
AA00052,165,166,0,0,24,0,0,0,0,0.756978039,0,0,0,0,60.18865423,0,0.645718007
AA00055,169,161,0,1,33,0,0,0,0,0.773997567,0,0,0,0,45.27665984,0,0.84340282
AA00060,179,187,0,1,42,0,4,0,0,0.781617943,0,0,0,0,50.52883788,0,0.786292904
AA00061,220,223,0,1,31,0,0,0,0,0.782587661,0,0,0,0,45.9543714,0,0.870090234
AA00069,275,294,1,0,45,0,0,0,0,0.79287413,0,0,0,0,58.27108406,0,0.684459512
AA00118,365,358,1,1,45,0,29,0,0,0.748424275,0,0,0,0,66.68338287,0,0.676526992
AA00125,278,269,0,11,7,0,3,1,0,0.859252677,0,0,0,0,71.83391498,0,0.40558382
AA00128,153,164,3,6,13,0,130,0,0,0.801834763,0,0,0,0,78.12245529,0,0.635809674
AA00143,175,183,0,5,19,0,0,0,0,0.775946032,0,0,0,0,49.78402687,0,0.849534027
AA00146,431,431,0,0,45,0,74,0,0,0.755946693,0,0,0,0,56.97854128,0,0.751289869
AA00148,419,432,0,0,54,0,9,0,0,0.797274361,0,0,0,1403,61.3766565,0,0.817605974
AA00154,257,255,1,0,55,0,0,0,0,0.726472857,0,0,0,0,67.86191177,0,0.80986276
AA00160,298,311,0,5,35,0,0,0,0,0.772397552,0,0,0,0,57.67298636,0,0.744830269
AA00164,460,462,1,1,73,0,0,0,0,0.722152374,0,0,0,0,58.47774966,0,0.783883351
AA00173,194,202,0,2,30,0,0,0,0,0.758601837,0,0,0,0,66.12994164,0,0.593721595
AA00188,94,103,1,1,27,0,0,0,0,0.770035556,0,0,0,0,62.94917996,0,0.586031767
AA00195,117,118,0,4,10,0,0,0,0,0.718122808,0,0,0,0,68.25146583,0,0.864638091
AA00202,89,86,0,4,12,0,0,0,0,0.802653223,0,0,0,0,35.00439405,0,0.961871013
AA00203,208,219,0,6,26,0,0,0,0,0.79013307,0,0,0,0,40.68964851,0,0.872537659
AA00211,283,273,0,9,31,0,0,0,0,0.781254267,0,0,0,0,50.25456179,0,0.876266303
AA00212,184,191,0,12,25,0,131,0,0,0.727846818,0,0,0,0,66.32437433,0,0.762357177
AA00219,367,378,0,5,22,0,0,0,0,0.765883943,0,0,0,0,52.14791722,0,0.738414257
AA00228,69,69,0,2,8,0,0,0,0,0.750862948,0,0,0,0,48.02142857,0,0.897204969
AA00232,235,247,0,3,18,0,0,0,0,0.794826391,0,0,0,0,43.14218141,0,0.91772001
AA00235,132,132,0,0,26,0,0,0,0,0.770306325,0,0,0,0,53.09806936,0,0.699773325
AA00238,56,66,0,2,4,0,4,0,0,0.755658311,0,0,0,0,49.20905923,0,0.753246753
AA00239,198,187,1,3,17,0,2,0,0,0.738529167,0,0,0,0,63.32407024,0,0.699875835
AA00251,84,85,0,3,9,0,0,0,0,0.84290465,0,0,0,0,40.1314063,0,0.996167587
AA00262,152,165,0,6,23,0,0,0,0,0.72539092,0,0,0,0,57.3128099,0,0.797310313
AA00272,37,38,0,2,11,0,0,0,0,0.718791487,0,0,0,0,62.72666594,0,0.752161068
AA00279,65,60,0,8,8,0,0,0,0,0.777506539,0,0,0,0,73.37386796,0,0.406894926
AA00281,306,312,0,2,37,0,0,0,0,0.833724401,0,0,0,0,36.41753764,0,0.986076174
AA00286,396,410,2,4,22,0,0,0,0,0.782724521,0,0,0,0,49.33668284,0,0.84885187
AA00296,297,296,0,12,22,0,0,0,0,0.794400925,0,0,0,0,41.24222152,0,0.947589265
AA00299,192,197,1,1,21,0,0,1,0,0.732020642,0,0,0,0,68.11244062,0,0.710896675
AA00301,375,353,0,1,38,0,0,0,0,0.813400201,0,0,0,0,32.36054578,0,0.951441839
AA00303,175,178,0,1,11,0,0,0,0,0.813004487,0,0,0,0,35.86506269,0,0.962446693
AA00306,294,314,0,5,42,0,0,0,0,0.741432815,0,0,0,0,51.69297632,0,0.637236726
AA00316,144,135,0,1,13,0,0,0,0,0.803421437,0,0,0,0,29.77066554,0,1
AA00317,205,185,1,2,20,0,53,0,0,0.729422854,0,0,0,0,67.48450202,0,0.627659919
AA00322,207,213,0,11,15,0,0,0,0,0.756542654,0,0,0,0,47.46414321,0,0.909773896
AA00324,153,171,0,7,16,0,19,0,0,0.74703866,0,0,0,0,62.42057377,0,0.602745902
AA00325,131,131,0,7,12,0,0,0,0,0.788990541,0,0,0,0,34.19641361,0,0.894084129
AA00345,33,36,0,8,4,0,0,0,0,0.779709698,0,0,0,0,28.79407713,0,1
AA00346,169,156,0,6,14,0,0,0,0,0.810700022,0,0,0,0,38.95213358,0,0.949016698
AA00364,273,283,0,11,16,0,0,0,0,0.753653163,0,0,0,0,51.51338413,0,0.778168555
AA00374,103,97,0,13,12,0,0,0,0,0.750459155,0,0,0,0,52.37717222,0,0.824086369
AA00377,223,250,0,5,20,0,0,0,0,0.788534574,0,0,0,0,36.06743553,0,0.934006087
AA00381,110,104,0,3,10,0,0,0,0,0.84149637,0,0,0,0,29.1801281,0,0.990157788
AA00382,53,57,0,0,6,0,0,0,0,0.722656108,0,0,0,0,49.98442714,0,0.759176863
AA00388,101,116,0,6,6,0,0,0,0,0.709540597,0,0,0,0,58.25263737,0,0.588470576
AA00404,90,90,0,4,4,0,0,0,0,0.750301945,0,0,0,0,59.65903674,0,0.441111202
AA00408,162,162,0,7,18,0,0,0,0,0.796200293,0,0,0,0,41.12985031,0,0.883475198
AA00422,60,56,0,4,8,0,0,0,0,0.726617912,0,0,0,0,43.49765991,0,0.897603177
AA00430,62,66,0,3,7,0,0,0,0,0.747342729,0,0,0,0,66.31637466,0,0.494777628
AA00434,118,111,0,5,16,0,0,0,0,0.785255688,0,0,0,0,39.65457262,0,0.927222282
AA00439,201,204,1,4,18,0,0,0,0,0.754004738,0,0,0,0,47.67931932,0,0.841300985
AA00445,256,262,1,5,14,0,0,0,0,0.717754341,0,0,0,0,58.92321023,0,0.764057048
AA00455,135,138,0,0,13,0,0,0,0,0.755211597,0,0,0,0,47.02369584,0,0.772236958
AA00456,53,63,0,9,12,0,0,0,0,0.764598643,0,0,0,0,52.76300946,0,0.703147744
AA00460,125,135,0,8,6,0,0,0,0,0.820852476,0,0,0,0,39.60842069,0,0.986398683
AB00005,54,57,0,4,5,0,264,0,0,0.765963337,0,0,0,0,78.9993473,0,0.767875156
AB00006,594,633,5,16,19,0,0,0,0,0.824118509,0,0,0,0,37.1863178,0,0.999990295
AB00007,567,577,1,12,63,0,1,0,0,0.766710503,0,0,0,0,58.01200475,0,0.75036395
AB00008,361,394,2,8,25,0,0,0,0,0.804720777,0,0,0,0,43.88968274,0,0.999422002
AB00010,160,161,1,1,8,0,0,0,0,0.802208736,0,0,0,0,50.10255531,0,0.903385506
AB00011,582,678,4,8,33,0,0,0,0,0.800017367,0,0,0,0,41.52240736,0,0.99992962
AB00012,166,184,3,2,22,0,87,0,0,0.803548359,0,0,0,9178,83.68231614,0,0.7956389
AB00191,106,116,1,3,14,0,0,0,0,0.77358184,0,0,0,0,51.28388469,0,0.953221579
AB00198,145,153,0,3,15,0,0,0,0,0.783400926,0,0,0,0,42.02112887,0,0.994955045
AB00200,43,49,0,0,3,0,0,0,0,0.77297282,0,0,0,0,46.5997501,0,1
AB00201,16,17,0,1,9,0,2,0,0,0.779269092,0,0,0,0,61.09562303,0,0.898264984
AB00206,212,226,0,5,12,0,0,0,0,0.777179571,0,0,0,0,41.15856648,0,0.999704167
AB00210,440,493,0,23,50,0,0,0,0,0.811324531,0,0,0,0,43.90232697,0,0.998751623
AB00215,163,191,0,5,6,0,0,0,0,0.778124332,0,0,0,0,42.3291431,0,0.999664781
AB00230,162,181,2,0,10,0,0,0,0,0.822902794,0,0,0,0,47.90868444,0,0.997993694
AB00234,111,100,0,1,12,0,48,0,0,0.773618437,0,0,0,0,72.8018947,0,0.54481053
AB00237,156,167,0,4,11,0,0,0,0,0.803763087,0,0,0,0,40.31897263,0,0.999862467
AB00240,46,53,0,2,9,0,0,0,0,0.776341024,0,0,0,0,52.3846702,0,0.997251629
AB00257,105,124,0,1,10,0,1,0,0,0.791501019,0,0,0,0,64.29177111,0,0.632725387
AB00261,21,21,0,2,9,0,115,0,0,0.778737595,0,0,0,0,70.94997603,0,0.646156305
