vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate,safescorebyPredict,totalscorebyPredict
AB00365,91,94,0,2,18,0,2,0,0,0.7967705829999999,0,0,0,0,68.69434488,0,0.476636134,79.8418762402119,78.59221850868826
AB00370,98,110,0,1,6,0,0,0,0,0.787831752,0,0,0,0,47.69096015,0,0.9997771240000001,79.3460838432372,74.2170279715244
AB00380,110,102,0,0,12,0,0,0,0,0.7794412759999999,0,0,0,0,36.80537293,0,1.0,79.78073170093344,74.66192330137358
AB00386,157,164,3,6,15,0,319,0,0,0.814021083,0,0,0,0,70.03252383,0,0.779366173,38.574985946545816,43.6114901527834
AB00395,41,41,0,2,6,0,0,0,0,0.811791349,0,0,0,0,56.1014975,0,0.820743206,81.67452694603567,77.36598375399083
AB00407,90,81,0,1,5,0,0,0,0,0.83625317,0,0,0,0,32.24257274,0,1.0,80.41960793403742,74.50621094300635
AB00425,108,118,1,7,10,0,0,0,0,0.8071323109999999,0,0,0,0,53.86310334,0,0.996330761,73.8779726078523,69.66023894228658
AB00435,132,139,0,0,13,0,0,0,0,0.7836569090000001,0,0,0,0,49.94867974,0,0.999161738,78.5803751057404,73.43791276801986
AB00440,253,271,0,6,16,0,0,0,0,0.792168098,0,0,0,0,41.64542099,0,0.99886651,73.73621699150313,68.54204027035871
AB00451,67,69,0,2,12,0,0,0,0,0.749097192,0,0,0,0,44.00822681,0,1.0,80.70477392133715,76.18388129247298
AB00452,254,274,0,4,24,0,0,0,0,0.8259310740000001,0,0,0,0,43.31738959,0,0.999930377,74.01690479432467,68.28592822808477
AB00453,225,254,2,2,17,0,0,0,0,0.814336374,0,0,0,0,49.21900755,0,0.999282267,66.8533189086758,62.873174164220636
AB00457,52,47,0,0,6,0,0,0,0,0.777600394,0,0,0,0,41.28475602,0,0.9996054190000001,81.43257717414946,76.28852071260684
AB00458,113,105,1,3,15,0,0,0,0,0.7924898979999999,0,0,0,0,50.13808052,0,0.990471285,74.88588231732258,70.22347104534667
AB00465,294,313,1,1,26,0,3,0,0,0.8214891990000001,0,0,0,0,64.89934199,0,0.691742249,68.64784755515527,68.95068708181886
AD00003,164,186,0,7,16,0,0,0,0,0.8093725359999999,0,0,0,0,49.53479331,0,0.9296643720000001,76.71122010183787,72.64886717795262
AD00009,178,193,0,0,35,0,0,0,0,0.762857481,0,0,0,225,46.13978789,0,0.800012155,76.79749379928549,74.70797957554869
AD00013,457,571,0,0,65,0,0,0,0,0.824677999,0,0,0,0,39.40398139,0,0.996126799,66.26587084901135,58.64902901930306
AD00014,364,418,0,8,47,0,0,0,0,0.823200849,0,0,0,0,41.8735093,0,0.987923661,69.23770989579963,63.036978672759915
AD00015,103,117,1,3,1,0,0,0,0,0.7963042779999999,0,0,0,0,45.47338156,0,1.0,74.01898746419711,69.53273267032831
AD00016,151,164,1,0,15,0,0,0,0,0.7867697359999999,0,0,0,0,50.42791585,0,0.9841321140000001,73.32550751949525,68.84852924500468
AD00017,359,395,0,11,11,0,0,0,0,0.79626062,0,0,0,0,45.565641799999995,0,0.9922820590000001,68.63921968339527,63.906070528330424
AD00018,231,288,0,0,15,0,0,0,0,0.7830825709999999,0,0,0,0,49.14757427,0,0.9961611220000001,73.56010243659448,69.13655228688607
AD00019,633,681,0,1,121,0,103,0,0,0.72418353,0,0,0,0,62.96395816,0,0.800443847,56.997899074240465,53.5522684543324
AD00020,389,417,0,32,61,0,1,0,0,0.7307139859999999,0,0,0,3806,57.65040718,0,0.692658207,56.79885917345805,59.916952959060865
AD00021,689,690,4,37,62,0,17,0,0,0.753419535,0,0,0,0,61.10272519,0,0.696673076,47.40515100062147,52.72597935807822
AD00022,649,632,4,0,78,0,5,0,0,0.750192373,0,0,0,0,61.41111741,0,0.657165332,63.418551438147105,60.53980503109517
AD00023,100,92,2,6,9,0,1,0,0,0.7619768929999999,0,0,0,154,69.37091976,0,0.477686989,70.24368297482795,71.89944307002723
AD00024,276,292,0,0,34,0,3,0,0,0.758452812,0,0,0,0,51.12016561,0,0.789176223,73.80195720462777,71.8818062370035
AD00025,187,204,2,2,10,0,0,0,0,0.8147847909999999,0,0,0,0,49.04247043,0,0.997077207,67.95404714818876,63.962660059905005
AD00026,95,88,0,1,12,0,5,0,0,0.769916032,0,0,0,0,68.53332452,0,0.6955831790000001,79.51863214849621,76.64339947722408
AD00027,407,403,3,8,37,0,2,0,0,0.7659888009999999,0,0,0,4216,61.94382858,0,0.653554495,55.33757816360274,57.408788550839986
AD00037,134,142,1,14,17,0,175,0,0,0.7547679340000001,0,0,0,0,62.36435355,0,0.825455013,49.286202168167875,54.85957933261083
AD00038,301,309,0,7,37,0,1,0,0,0.7699833640000001,0,0,0,1664,57.95893962,0,0.7119206440000001,68.61134678997476,69.38308458000088
AD00039,271,307,0,0,27,0,0,0,0,0.8367935040000001,0,0,0,0,41.87996059,0,0.991692715,73.32482076236192,67.52205910570538
AD00040,231,240,0,0,48,0,29,0,0,0.7557306009999999,0,0,0,0,57.95549492,0,0.857496618,72.4732732718887,70.14894825803566
AD00041,324,347,0,0,45,0,40,0,0,0.7477773990000001,0,0,0,0,62.98770789,0,0.779620093,67.72251346925114,67.3516930559163
AD00043,309,317,0,0,55,0,40,0,0,0.795496603,0,0,0,0,60.839608,0,0.743814056,68.86773353447776,68.16184281823986
AD00046,464,440,2,0,27,0,0,0,0,0.7969016609999999,0,0,0,0,45.91920876,0,0.9932581359999999,64.37003666972286,58.355166745716225
AD00048,345,379,1,0,54,0,21,0,0,0.728947474,0,0,0,0,61.45652273,0,0.758520689,66.67699313602407,66.03801447839403
AD00050,252,255,5,6,23,0,549,0,0,0.789393888,0,0,0,0,76.43174075,0,0.624187546,30.448062729173913,38.046970228653564
AD00053,264,281,0,0,65,0,115,0,0,0.78151681,0,0,0,0,51.89652286,0,0.9210341870000001,60.87362294923852,59.0611413829807
AD00057,335,346,0,29,41,0,5,1,0,0.753548676,0,0,0,0,54.78166344,0,0.826395997,69.37307398249641,66.89794363643705
AD00058,291,319,0,13,26,0,0,0,0,0.771831371,0,0,0,0,47.90094524,0,0.9981542590000001,71.6998695801125,66.82828975382719
AD00064,198,229,0,0,25,0,0,0,0,0.8141795159999999,0,0,0,0,43.15238807,0,0.994607591,75.87307271391104,70.53371311734362
AD00065,402,414,1,0,58,0,2,0,0,0.724364012,0,0,0,0,57.43900411,0,0.77656804,68.41117786928073,66.16709885180259
AD00067,174,212,0,2,12,0,0,0,0,0.8214405109999999,0,0,0,0,40.97097434,0,0.993420431,75.95732116317116,70.83572387314938
AD00068,505,529,0,0,26,0,0,1,0,0.7973448320000001,0,0,0,0,40.40759106,0,0.9508992209999999,66.67430265583147,60.65433642922707
AD00070,267,281,1,0,36,0,4,2,0,0.7673543690000001,0,0,0,0,49.98928626,0,0.8584224340000001,70.34135918280678,67.41594937347232
AD00072,356,369,1,0,29,0,0,0,0,0.8007465290000001,0,0,0,0,44.95356896,0,0.9747130629999999,67.9766929594866,62.673663483125374
AD00073,161,183,0,0,44,0,2,0,0,0.8093310840000001,0,0,0,0,57.90403773,0,0.734606825,77.6203150905787,75.63167746628116
AD00074,110,117,0,0,22,0,0,0,0,0.720542294,0,0,0,0,57.98809911,0,0.810329599,79.41173725393934,76.99441638321855
AD00075,253,269,1,0,30,0,2,0,0,0.783448577,0,0,0,0,59.3493483,0,0.665602072,70.54176511169985,70.55402968120751
AD00076,369,378,0,1,51,0,0,0,0,0.7617636959999999,0,0,0,0,51.01411303,0,0.849714153,72.05112539136151,68.45295156864216
AD00077,300,252,0,5,66,0,0,0,0,0.8790018540000001,0,0,0,0,30.54432841,0,1.0,76.01957070836352,66.96564903828849
AD00078,372,374,0,1,36,0,0,0,0,0.783080935,0,0,0,0,39.15949838,0,0.998909522,71.61970167412107,64.96386276294628
AD00080,445,455,0,5,31,0,0,0,0,0.7829995609999999,0,0,0,0,41.67568402,0,0.999876475,68.27135249258458,61.77478398695292
AD00081,188,210,1,0,12,0,0,0,0,0.8165324159999999,0,0,0,0,45.71100895,0,0.9320079520000001,71.71027278997603,67.77680632707028
AD00082,210,237,0,0,30,0,0,0,0,0.770309534,0,0,0,0,44.17698514,0,0.997698075,75.76452941494858,70.81477388197486
AD00083,536,602,4,8,11,0,0,0,0,0.791903845,0,0,0,0,41.73558523,0,0.999434873,55.64339591730029,52.59853946943822
AD00086,257,296,2,3,26,0,0,0,0,0.82082252,0,0,0,0,42.28100972,0,0.994889872,65.83108288540636,61.260540214818015
AD00088,395,409,0,0,40,0,0,0,0,0.80137173,0,0,0,4,43.66381905,0,0.990216419,70.72952608772427,64.17960390204965
AD00089,241,261,1,0,9,0,0,0,0,0.7815451290000001,0,0,0,0,50.56988119,0,0.9900189979999999,70.21643019289515,66.03962035745226
AD00090,332,368,2,0,37,0,0,0,0,0.793831473,0,0,0,0,44.59922556,0,0.999658334,65.68507104777555,60.08242069042497
AD00097,282,270,0,3,38,0,0,1,0,0.851174694,0,0,0,0,35.4327806,0,0.976556456,74.74981998648855,67.93925202639043
AD00099,53,54,0,1,29,0,0,0,0,0.79505433,0,0,0,0,49.58354795,0,0.990455992,81.637519005824,76.46821881760107
AD00100,523,544,3,8,7,0,0,0,0,0.8114362270000001,0,0,0,0,40.35592801,0,0.998781371,57.04147631242517,53.515769088389995
AD00101,302,361,1,7,3,0,0,0,0,0.806224622,0,0,0,0,50.61170628,0,0.974178448,65.42388643685977,62.98946717241696
AD00104,284,314,2,0,11,0,0,0,0,0.782856934,0,0,0,0,49.61359423,0,0.9584857440000001,65.83133737705592,62.47976841478805
AD00106,626,715,3,0,17,0,0,0,0,0.7984540290000001,0,0,0,0,41.69791413,0,0.998999242,57.01207932470178,51.85432633315409
AD00109,269,325,0,6,18,0,0,0,0,0.7826511420000001,0,0,0,0,45.70574446,0,0.9930748220000001,71.78396689868069,67.41365327253894
AD00110,213,245,0,1,35,0,0,0,0,0.759515576,0,0,0,0,45.64977044,0,0.993904692,75.53967761736658,70.83526644663505
AD00112,0,0,0,19,0,0,0,0,0,1.0,0,0,0,0,0.0,0,1.0,84.11236733135864,74.91806739850266
AD00113,296,366,0,0,25,0,0,0,0,0.7770568379999999,0,0,0,0,47.43937657,0,0.989806521,71.2953922111083,66.81744492621847
AD00114,273,289,0,1,66,0,0,0,0,0.835777942,0,0,0,0,36.21518353,0,0.958821715,75.0579538203428,68.4319414781293
AD00117,750,764,2,1,42,0,6,1,0,0.8638549729999999,0,0,0,0,41.44889767,0,0.9930363390000001,57.44339257181272,49.75996496294369
AD00120,235,271,0,0,12,0,0,0,0,0.7747732959999999,0,0,0,0,49.85099602,0,0.9151584140000001,74.11396270010484,70.69897652451584
AD00121,429,475,1,7,5,0,0,0,0,0.7944571979999999,0,0,0,0,45.75201095,0,0.996116792,62.32990071281742,58.918620219851945
AD00123,233,243,0,0,35,0,2,0,0,0.784038128,0,0,0,0,52.95832439,0,0.833106835,75.4979289412235,72.60352158482954
AD00124,280,300,2,0,64,0,5,0,0,0.757392029,0,0,0,0,59.82451170000001,0,0.7701181990000001,68.3353519785474,66.341187411951
AD00126,162,185,1,0,26,0,0,0,0,0.7692577559999999,0,0,0,0,69.69180272,0,0.790257442,73.05584114634098,71.24366791426637
