vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate,safescore,totalscore
AA00001,408,437,1,0,77,0,0,0,0,0.735041162,0,0,0,0,62.81774737,0,0.832242933,71,67.5
AA00002,188,190,1,0,30,0,90,0,0,0.735104553,0,0,0,0,61.28487979,0,0.771820991,65,64.25
AA00004,235,232,0,7,15,0,0,0,0,0.747053626,0,0,0,0,52.8852896,0,0.687519221,77,76
AA00036,181,172,0,1,26,0,0,0,0,0.71794894,0,0,0,0,49.51415925,0,0.756098788,79,75.5
AA00045,83,85,0,3,14,0,0,1,0,0.768542142,0,0,0,0,49.33039433,0,0.838586504,81,78
AA00051,484,482,1,0,49,0,2,0,0,0.768046734,0,0,0,0,55.81785091,0,0.730611148,70.5,69
AA00052,165,166,0,0,24,0,0,0,0,0.756978039,0,0,0,0,60.18865423,0,0.645718007,81.75,79.5
AA00055,169,161,0,1,33,0,0,0,0,0.773997567,0,0,0,0,45.27665984,0,0.84340282,81.5,76.75
AA00060,179,187,0,1,42,0,4,0,0,0.781617943,0,0,0,0,50.52883788,0,0.786292904,76,72.5
AA00061,220,223,0,1,31,0,0,0,0,0.782587661,0,0,0,0,45.9543714,0,0.870090234,76.35,71.8
AA00069,275,294,1,0,45,0,0,0,0,0.79287413,0,0,0,0,58.27108406,0,0.684459512,74.5,74
AA00118,365,358,1,1,45,0,29,0,0,0.748424275,0,0,0,0,66.68338287,0,0.676526992,69.5,73
AA00125,278,269,0,11,7,0,3,1,0,0.859252677,0,0,0,0,71.83391498,0,0.40558382,76,78.5
AA00128,153,164,3,6,13,0,130,0,0,0.801834763,0,0,0,0,78.12245529,0,0.635809674,55.5,61.5
AA00143,175,183,0,5,19,0,0,0,0,0.775946032,0,0,0,0,49.78402687,0,0.849534027,81.15,76.4
AA00146,431,431,0,0,45,0,74,0,0,0.755946693,0,0,0,0,56.97854128,0,0.751289869,65.5,65
AA00148,419,432,0,0,54,0,9,0,0,0.797274361,0,0,0,1403,61.3766565,0,0.817605974,61.5,62
AA00154,257,255,1,0,55,0,0,0,0,0.726472857,0,0,0,0,67.86191177,0,0.80986276,71.25,69.5
AA00160,298,311,0,5,35,0,0,0,0,0.772397552,0,0,0,0,57.67298636,0,0.744830269,74.25,73.25
AA00164,460,462,1,1,73,0,0,0,0,0.722152374,0,0,0,0,58.47774966,0,0.783883351,69.85,65.5
AA00173,194,202,0,2,30,0,0,0,0,0.758601837,0,0,0,0,66.12994164,0,0.593721595,79.5,80.5
AA00188,94,103,1,1,27,0,0,0,0,0.770035556,0,0,0,0,62.94917996,0,0.586031767,77.55,78.25
AA00195,117,118,0,4,10,0,0,0,0,0.718122808,0,0,0,0,68.25146583,0,0.864638091,81.5,79.5
AA00202,89,86,0,4,12,0,0,0,0,0.802653223,0,0,0,0,35.00439405,0,0.961871013,84.1,76.15
AA00203,208,219,0,6,26,0,0,0,0,0.79013307,0,0,0,0,40.68964851,0,0.872537659,75.55,71.75
AA00211,283,273,0,9,31,0,0,0,0,0.781254267,0,0,0,0,50.25456179,0,0.876266303,75.25,72.3
AA00212,184,191,0,12,25,0,131,0,0,0.727846818,0,0,0,0,66.32437433,0,0.762357177,61.5,63.25
AA00219,367,378,0,5,22,0,0,0,0,0.765883943,0,0,0,0,52.14791722,0,0.738414257,73,71.5
AA00228,69,69,0,2,8,0,0,0,0,0.750862948,0,0,0,0,48.02142857,0,0.897204969,85,80.5
AA00232,235,247,0,3,18,0,0,0,0,0.794826391,0,0,0,0,43.14218141,0,0.91772001,74.5,72.5
AA00235,132,132,0,0,26,0,0,0,0,0.770306325,0,0,0,0,53.09806936,0,0.699773325,80.25,80.5
AA00238,56,66,0,2,4,0,4,0,0,0.755658311,0,0,0,0,49.20905923,0,0.753246753,81,81.15
AA00239,198,187,1,3,17,0,2,0,0,0.738529167,0,0,0,0,63.32407024,0,0.699875835,74.95,76.8
AA00251,84,85,0,3,9,0,0,0,0,0.84290465,0,0,0,0,40.1314063,0,0.996167587,85.25,76.8
AA00262,152,165,0,6,23,0,0,0,0,0.72539092,0,0,0,0,57.3128099,0,0.797310313,79.5,79.5
AA00272,37,38,0,2,11,0,0,0,0,0.718791487,0,0,0,0,62.72666594,0,0.752161068,85.8,84.5
AA00279,65,60,0,8,8,0,0,0,0,0.777506539,0,0,0,0,73.37386796,0,0.406894926,83.5,86
AA00281,306,312,0,2,37,0,0,0,0,0.833724401,0,0,0,0,36.41753764,0,0.986076174,74.5,70
AA00286,396,410,2,4,22,0,0,0,0,0.782724521,0,0,0,0,49.33668284,0,0.84885187,68.7,67.3
AA00296,297,296,0,12,22,0,0,0,0,0.794400925,0,0,0,0,41.24222152,0,0.947589265,75.9,72.65
AA00299,192,197,1,1,21,0,0,1,0,0.732020642,0,0,0,0,68.11244062,0,0.710896675,71.95,71.5
AA00301,375,353,0,1,38,0,0,0,0,0.813400201,0,0,0,0,32.36054578,0,0.951441839,73.6,68.25
AA00303,175,178,0,1,11,0,0,0,0,0.813004487,0,0,0,0,35.86506269,0,0.962446693,79.2,74
AA00306,294,314,0,5,42,0,0,0,0,0.741432815,0,0,0,0,51.69297632,0,0.637236726,73.55,72.5
AA00316,144,135,0,1,13,0,0,0,0,0.803421437,0,0,0,0,29.77066554,0,1,80.15,71.5
AA00317,205,185,1,2,20,0,53,0,0,0.729422854,0,0,0,0,67.48450202,0,0.627659919,65.4,65.7
AA00322,207,213,0,11,15,0,0,0,0,0.756542654,0,0,0,0,47.46414321,0,0.909773896,75.25,71.1
AA00324,153,171,0,7,16,0,19,0,0,0.74703866,0,0,0,0,62.42057377,0,0.602745902,70.5,70.6
AA00325,131,131,0,7,12,0,0,0,0,0.788990541,0,0,0,0,34.19641361,0,0.894084129,82.2,78
AA00345,33,36,0,8,4,0,0,0,0,0.779709698,0,0,0,0,28.79407713,0,1,86.25,76.5
AA00346,169,156,0,6,14,0,0,0,0,0.810700022,0,0,0,0,38.95213358,0,0.949016698,79.9,75.4
AA00364,273,283,0,11,16,0,0,0,0,0.753653163,0,0,0,0,51.51338413,0,0.778168555,74.65,73.5
AA00374,103,97,0,13,12,0,0,0,0,0.750459155,0,0,0,0,52.37717222,0,0.824086369,80.8,78.4
AA00377,223,250,0,5,20,0,0,0,0,0.788534574,0,0,0,0,36.06743553,0,0.934006087,75.5,71
AA00381,110,104,0,3,10,0,0,0,0,0.84149637,0,0,0,0,29.1801281,0,0.990157788,80.5,73
